dataset,impl,op,bytes,calls,ns_per_call,pass_drift,ins_spread,multiplexed,instructions,cycles,branches,branch-misses,cache-references,cache-misses,stalled-cycles-fe,L1d-read,L1d-read-miss,L1d-prefetch,L1i-read-miss,dTLB-read,dTLB-read-miss,iTLB-read-miss,BPU-read,BPU-read-miss,task-clock-ns,page-faults,page-faults-maj,context-switches,cpu-migrations
instruments.json,boost (pool),parse,220346,118,801279.6,0.000336,0.000253,0,3857973,1369423,760557,4226,21392,1239,226804,1311517,10787,9532,160,293,61.771,6.602,760723,4286,789258,0.000,0.000,0.000,0.000
marine_ik.json,boost,parse,2983466,4,21918471.5,0.001056,0.000309,0,104848349,36987958,22678672,88200,1110013,120093,5025201,35410018,590482,373127,3243,16198,7526,150,22727797,93604,21273595,0.000,0.000,0.000,0.000
marine_ik.json,boost,serialize,2983466,8,13929871.9,0.000013,0.000210,0,64001101,24070512,11666691,75634,332000,29695,2108498,18582736,169564,145078,1195,3292,2764,49.375,11666682,75486,13773896,0.000,0.000,0.000,0.000
marine_ik.json,boost (null),parse,2983466,16,6762580.4,0.000001,0.000000,0,44867206,11630169,9567090,44109,95217,1794,882469,12010752,47096,46723,221,250,236,20.125,9567090,43993,6666340,0.000,0.000,0.000,0.000
marine_ik.json,boost (pool),parse,2983466,6,15902968.3,0.000013,0.000043,0,69886331,21502002,14289100,69492,666371,52391,2408312,23525983,333976,160375,2638,7842,5833,149,14289218,69130,15597823,1356,0.000,0.000,0.000
mesh.json,boost,parse,723597,15,3642950.8,0.001144,0.000019,0,20586708,6208764,4186076,9390,337053,30034,511187,6110922,179621,85870,410,3114,1166,40.400,4192492,9287,3567256,0.000,0.000,0.000,0.000
mesh.json,boost,serialize,723597,26,3520710.8,0.000001,0.000000,0,18241255,6103778,3263767,14157,64268,2006,271175,4858329,31357,30717,160,562,328,13.346,3263767,14087,3494065,0.000,0.000,0.000,0.000
mesh.json,boost (null),parse,723597,27,1982481.2,0.000001,0.000000,0,13814235,3434462,2722585,7426,23038,390,100504,3238665,11425,11320,33.074,144,50.630,5.963,2722585,7430,1968258,0.000,0.000,0.000,0.000
mesh.json,boost (pool),parse,723597,34,2937790.1,0.000015,0.000194,0,17585413,5046363,3333798,7927,264459,20169,145480,5247890,143376,54048,248,1551,585,26.559,3333808,7955,2895387,0.000,0.000,0.000,0.000
mesh.pretty.json,boost,parse,1577353,20,4024319.9,0.001152,0.000009,0,21856210,6894985,4415253,15164,366490,30639,560808,6333093,192959,99604,463,3293,1073,32.350,4421909,15180,3957502,0.000,0.000,0.000,0.000
mesh.pretty.json,boost,serialize,1577353,20,3549282.8,0.000001,0.000000,0,18243606,6152029,3264371,14178,63389,1704,323010,4859729,31305,30702,155,553,321,13.550,3264387,14199,3523411,0.000,0.000,0.000,0.000
mesh.pretty.json,boost (null),parse,1577353,36,2434763.0,0.000001,0.000000,0,14991514,4149372,2915574,14344,49947,892,178418,3444154,24848,24638,69.694,401,174,6.361,2915585,14383,2377892,0.000,0.000,0.000,0.000
mesh.pretty.json,boost (pool),parse,1577353,20,3281590.5,0.000007,0.000010,0,18857279,5645733,3563346,13880,295699,21356,214225,5522891,156685,69068,297,1751,579,24.950,3563372,13842,3233560,0.000,0.000,0.000,0.000
numbers.json,boost,parse,150124,132,435427.1,0.000175,0.000000,0,2616380,755103,494322,1904,54899,3116,30636,693168,29785,11253,51.530,359,22.985,3.341,494330,1913,432686,0.000,0.000,0.000,0.000
numbers.json,boost,serialize,150124,69,844637.4,0.000001,0.000000,0,4081361,1469104,637615,5536,6432,124,56997,1015680,3850,3787,12.551,74.971,12.000,2.377,637618,5550,840090,0.000,0.000,0.000,0.000
numbers.json,boost (null),parse,150124,410,282568.3,0.000001,0.000000,0,1911560,484925,348150,1870,3099,13.639,16830,406299,2370,2351,1.893,12.568,2.344,0.515,348152,1876,277781,0.000,0.000,0.000,0.000
numbers.json,boost (pool),parse,150124,230,403410.1,0.000144,0.000006,0,2416457,694675,424364,1907,49588,3194,20253,653059,26208,7737,50.391,263,21.383,3.687,424372,1912,398612,0.000,0.000,0.000,0.000
random.json,boost,parse,510476,14,6451987.9,0.003872,0.000226,0,28469216,11072934,6361250,31784,175204,41860,2099194,9493856,98000,70842,1199,7792,2537,58.000,6393585,36302,6356530,0.000,0.000,0.000,0.000
random.json,boost,serialize,510476,46,1346982.0,0.000001,0.000120,0,6597040,2326660,1622264,10248,60401,14741,392437,2166273,33396,28750,179,834,373,4.870,1622269,10233,1337009,0.000,0.000,0.000,0.000
random.json,boost (null),parse,510476,48,1627884.0,0.000001,0.000000,0,8110279,2807576,1859793,12256,15500,292,190114,1928321,8053,8000,40.312,144,52.125,6.812,1859799,12277,1608193,0.000,0.000,0.000,0.000
random.json,boost (pool),parse,510476,24,3203499.7,0.000061,0.000001,0,15829703,5553775,3455499,15251,68644,3285,943276,4942327,33410,30523,431,367,167,24.292,3455399,15232,3181280,0.000,0.000,0.000,0.000
twitter.json,boost,parse,631515,13,4512887.6,0.001832,0.000403,0,16616490,7795040,3546142,54192,141195,36392,1663161,5927542,81284,59317,1499,13187,4286,43.769,3553094,56619,4468829,0.000,0.000,0.000,0.000
twitter.json,boost,serialize,631515,80,1018156.6,0.000000,0.000060,0,4639188,1765102,1152690,9033,49100,6769,311748,1488269,24667,20968,173,910,231,3.562,1152690,8903,1010548,0.000,0.000,0.000,0.000
twitter.json,boost (null),parse,631515,46,1252571.6,0.000000,0.000000,0,5085926,2174140,1126801,9414,20564,528,193431,1373380,10097,9926,71.848,5.500,3.283,4.935,1126801,9362,1244017,0.000,0.000,0.000,0.000
twitter.json,boost (pool),parse,631515,28,2628638.7,0.000237,0.000279,0,9639032,4487250,1934102,27125,60023,4203,847111,3320618,29169,25851,740,537,362,23.036,1933743,26599,2572467,0.000,0.000,0.000,0.000
twitterescaped.json,boost,parse,562408,11,4619559.0,0.001516,0.000256,0,18078861,7989582,3891983,65239,139010,37274,1812898,6030161,80517,58193,1507,13495,4529,43.364,3898182,67174,4581185,0.000,0.000,0.000,0.000
twitterescaped.json,boost,serialize,562408,86,1030878.2,0.000001,0.000003,0,4639182,1776330,1152690,8899,48590,6734,321960,1489867,24280,20958,219,930,261,3.802,1152694,9110,1019028,0.000,0.000,0.000,0.000
twitterescaped.json,boost (null),parse,562408,41,1244712.1,0.000001,0.000000,0,6455156,2154393,1431213,18334,17943,456,348056,1479258,8992,8878,71.073,162,39.439,5.195,1431219,18267,1234067,0.000,0.000,0.000,0.000
twitterescaped.json,boost (pool),parse,562408,28,2660025.4,0.000173,0.000151,0,11097849,4611603,2279006,38408,56759,3954,1007512,3414978,28189,24866,607,624,402,23.714,2278621,37454,2637735,0.000,0.000,0.000,0.000
update-center.json,boost,parse,533178,24,4764871.8,0.002514,0.000316,0,19638094,8173774,4356253,42819,158452,44559,1750655,7095481,89302,63718,1030,12219,3453,37.458,4371596,45944,4684954,0.000,0.000,0.000,0.000
update-center.json,boost,serialize,533178,92,1264104.0,0.000000,0.000143,0,5494413,2168272,1338347,19046,55798,10036,397820,1787101,29274,24568,210,1360,550,4.228,1338347,19003,1242491,0.000,0.000,0.000,0.000
update-center.json,boost (null),parse,533178,162,653389.7,0.000000,0.000000,0,3801504,1135557,837145,6551,16189,373,139282,1105464,8436,8361,59.870,141,17.623,1.846,837145,6574,649562,0.000,0.000,0.000,0.000
update-center.json,boost (pool),parse,533178,38,2099479.5,0.000065,0.000124,0,10067876,3639536,2160315,13339,65787,3941,787568,3540902,32605,28927,427,492,124,16.184,2160344,13238,2084002,0.000,0.000,0.000,0.000
